Timestamp,Sensor_Value,Anomaly_Type
2025-08-21 01:15:58.994356,"{'temperature_c': 22.63651363444265, 'humidity_pct': 46.09829637134787, 'pressure_hpa': 1011.7124887723354, 'vibration_g': 4.904719699756725, 'minute_of_day': 27.0, 'hour': 0.0, 'weekday': 4.0, 'temperature_roll_mean': 26.098944984448433, 'humidity_roll_mean': 52.92635129054834, 'pressure_roll_mean': 1012.6884271741031, 'vibration_roll_mean': 1.5931372638531647, 'temp_humidity_interaction': 1043.5047143345942, 'pressure_vibration_interaction': 4962.166174171578, 'pressure_roll_std': 1.6468498036646757, 'vibration_roll_std': 1.862459381921205}",IsolationForest
2025-08-21 01:15:59.000176,"{'temperature_c': 26.62018272455744, 'humidity_pct': 32.98471589454839, 'pressure_hpa': 1003.8416685454816, 'vibration_g': 1.3018314303686982, 'minute_of_day': 31.0, 'hour': 0.0, 'weekday': 4.0, 'temperature_roll_mean': 26.828362684275625, 'humidity_roll_mean': 48.10197893387868, 'pressure_roll_mean': 1010.5104702900659, 'vibration_roll_mean': 1.7180020612957283, 'temp_humidity_interaction': 878.0591642304922, 'pressure_vibration_interaction': 1306.832635226265, 'pressure_roll_std': 4.397336788338506, 'vibration_roll_std': 1.7958135690157684}",IsolationForest
2025-08-21 01:15:59.004081,"{'temperature_c': 26.14266062585905, 'humidity_pct': 28.95304792043937, 'pressure_hpa': 996.31868871155, 'vibration_g': 0.4521889220001192, 'minute_of_day': 38.0, 'hour': 0.0, 'weekday': 4.0, 'temperature_roll_mean': 27.11707316500894, 'humidity_roll_mean': 51.06494390904894, 'pressure_roll_mean': 1009.3850969908435, 'vibration_roll_mean': 0.7734858259310947, 'temp_humidity_interaction': 756.9097058682806, 'pressure_vibration_interaction': 450.5242738170481, 'pressure_roll_std': 7.356281561334879, 'vibration_roll_std': 0.35765475889207654}",IsolationForest
2025-08-21 01:15:59.007227,"{'temperature_c': 25.643386308481727, 'humidity_pct': 41.09008194011064, 'pressure_hpa': 999.5411614643853, 'vibration_g': 0.6242016616550619, 'minute_of_day': 113.0, 'hour': 1.0, 'weekday': 4.0, 'temperature_roll_mean': 26.62959596760778, 'humidity_roll_mean': 53.68985348783733, 'pressure_roll_mean': 1009.8830123990404, 'vibration_roll_mean': 0.7716353720470088, 'temp_humidity_interaction': 1053.6888446374255, 'pressure_vibration_interaction': 623.9152538786998, 'pressure_roll_std': 5.81399554362036, 'vibration_roll_std': 0.11930718420396683}",IsolationForest
2025-08-21 01:15:59.009224,"{'temperature_c': 37.31888690909601, 'humidity_pct': 55.19370644609556, 'pressure_hpa': 1014.853120138434, 'vibration_g': 1.95262765635888, 'minute_of_day': 255.0, 'hour': 4.0, 'weekday': 4.0, 'temperature_roll_mean': 30.204259170618133, 'humidity_roll_mean': 52.089736745560685, 'pressure_roll_mean': 1013.920078994239, 'vibration_roll_mean': 0.9966675695816569, 'temp_humidity_interaction': 2059.7676889556838, 'pressure_vibration_interaction': 1981.6302695244071, 'pressure_roll_std': 1.3060304665362152, 'vibration_roll_std': 0.5599541040043752}",IsolationForest
2025-08-21 01:15:59.016167,"{'temperature_c': 37.48064217105826, 'humidity_pct': 52.81057552622868, 'pressure_hpa': 1014.0736349131956, 'vibration_g': 2.646318016447134, 'minute_of_day': 272.0, 'hour': 4.0, 'weekday': 4.0, 'temperature_roll_mean': 29.60243080458787, 'humidity_roll_mean': 53.11577755645152, 'pressure_roll_mean': 1012.4399741426774, 'vibration_roll_mean': 1.0171278191217774, 'temp_humidity_interaction': 1979.3742841462238, 'pressure_vibration_interaction': 2683.5613300748228, 'pressure_roll_std': 2.0488100340832203, 'vibration_roll_std': 0.9176832165640327}",IsolationForest
2025-08-21 01:15:59.021845,"{'temperature_c': 28.16542443951998, 'humidity_pct': 36.15667079647869, 'pressure_hpa': 1000.0614809056228, 'vibration_g': 0.8436669601203354, 'minute_of_day': 299.0, 'hour': 4.0, 'weekday': 4.0, 'temperature_roll_mean': 28.929511246693608, 'humidity_roll_mean': 49.5610340409434, 'pressure_roll_mean': 1009.5999805372227, 'vibration_roll_mean': 1.0373636496970544, 'temp_humidity_interaction': 1018.3679793028193, 'pressure_vibration_interaction': 843.7188295290877, 'pressure_roll_std': 5.783036956990188, 'vibration_roll_std': 0.7675710585688201}",IsolationForest
2025-08-21 01:15:59.025913,"{'temperature_c': 38.92051060494589, 'humidity_pct': 56.02725310421805, 'pressure_hpa': 1016.141087201438, 'vibration_g': 2.978344275532396, 'minute_of_day': 300.0, 'hour': 5.0, 'weekday': 4.0, 'temperature_roll_mean': 31.117642409851648, 'humidity_roll_mean': 49.49616446356456, 'pressure_roll_mean': 1010.9768785720698, 'vibration_roll_mean': 1.475556141423048, 'temp_humidity_interaction': 2180.609298608706, 'pressure_vibration_interaction': 3026.417990199668, 'pressure_roll_std': 6.460707951716996, 'vibration_roll_std': 1.1293264468174666}",IsolationForest
2025-08-21 01:15:59.030655,"{'temperature_c': 25.933003065231787, 'humidity_pct': 62.82752727892132, 'pressure_hpa': 1011.5649991555435, 'vibration_g': 0.4642387013147678, 'minute_of_day': 301.0, 'hour': 5.0, 'weekday': 4.0, 'temperature_roll_mean': 30.679402594022974, 'humidity_roll_mean': 50.952048572297386, 'pressure_roll_mean': 1011.1903906565876, 'vibration_roll_mean': 1.4285667977763081, 'temp_humidity_interaction': 1629.3064575052003, 'pressure_vibration_interaction': 469.60762150344374, 'pressure_roll_std': 6.458542311538187, 'vibration_roll_std': 1.173721045300672}",IsolationForest
2025-08-21 01:15:59.036247,"{'temperature_c': 37.79315826751152, 'humidity_pct': 51.53942915535283, 'pressure_hpa': 1010.1061089571488, 'vibration_g': 2.110345489636247, 'minute_of_day': 309.0, 'hour': 5.0, 'weekday': 4.0, 'temperature_roll_mean': 29.900148300525803, 'humidity_roll_mean': 53.76653341336523, 'pressure_roll_mean': 1012.9229463640393, 'vibration_roll_mean': 0.9493784720661692, 'temp_humidity_interaction': 1947.8378030854471, 'pressure_vibration_interaction': 2131.672871091738, 'pressure_roll_std': 3.362926669226192, 'vibration_roll_std': 0.6502693647365516}",IsolationForest
2025-08-21 01:15:59.042298,"{'temperature_c': 38.22633177804831, 'humidity_pct': 51.29713613559076, 'pressure_hpa': 1014.4433239196188, 'vibration_g': 2.411052758798415, 'minute_of_day': 399.0, 'hour': 6.0, 'weekday': 4.0, 'temperature_roll_mean': 30.27499558999158, 'humidity_roll_mean': 50.89549481101203, 'pressure_roll_mean': 1012.7365355765969, 'vibration_roll_mean': 1.0928876196987958, 'temp_humidity_interaction': 1960.9013451828034, 'pressure_vibration_interaction': 2445.8763747810312, 'pressure_roll_std': 2.1271346755929104, 'vibration_roll_std': 0.815469285514435}",IsolationForest
2025-08-21 01:15:59.047621,"{'temperature_c': 31.876538400853345, 'humidity_pct': 48.56518679971895, 'pressure_hpa': 1009.8051447576668, 'vibration_g': 3.4302427121151355, 'minute_of_day': 414.0, 'hour': 6.0, 'weekday': 4.0, 'temperature_roll_mean': 30.383277170726995, 'humidity_roll_mean': 48.54156552296466, 'pressure_roll_mean': 1012.5666113880785, 'vibration_roll_mean': 2.4509971864512026, 'temp_humidity_interaction': 1548.0900419658572, 'pressure_vibration_interaction': 3463.8767384613557, 'pressure_roll_std': 2.552835123304036, 'vibration_roll_std': 0.5978026336375701}",IsolationForest
2025-08-21 01:15:59.051898,"{'temperature_c': 29.913643347722527, 'humidity_pct': 36.14313860157522, 'pressure_hpa': 1000.72252172857, 'vibration_g': 1.9886226665373488, 'minute_of_day': 418.0, 'hour': 6.0, 'weekday': 4.0, 'temperature_roll_mean': 30.742146386744658, 'humidity_roll_mean': 50.08097630371035, 'pressure_roll_mean': 1009.9870123462551, 'vibration_roll_mean': 1.9788411459330082, 'temp_humidity_interaction': 1081.1729575948239, 'pressure_vibration_interaction': 1990.0594896238488, 'pressure_roll_std': 5.638051104526214, 'vibration_roll_std': 0.8522573401585928}",IsolationForest
2025-08-21 01:15:59.057117,"{'temperature_c': 31.82203882635051, 'humidity_pct': 59.07720574913382, 'pressure_hpa': 1012.8093043230078, 'vibration_g': 2.027637619035806, 'minute_of_day': 419.0, 'hour': 6.0, 'weekday': 4.0, 'temperature_roll_mean': 30.731246471844088, 'humidity_roll_mean': 52.183380093593314, 'pressure_roll_mean': 1010.5878442593236, 'vibration_roll_mean': 1.6983201273171418, 'temp_humidity_interaction': 1879.957135101234, 'pressure_vibration_interaction': 2053.6102463548145, 'pressure_roll_std': 5.772298984643326, 'vibration_roll_std': 0.31926661094675995}",IsolationForest
2025-08-21 01:15:59.062945,"{'temperature_c': 18.751187150274298, 'humidity_pct': 44.11451259488737, 'pressure_hpa': 1007.6548248355612, 'vibration_g': 0.2349860424676203, 'minute_of_day': 422.0, 'hour': 7.0, 'weekday': 4.0, 'temperature_roll_mean': 27.552644244870073, 'humidity_roll_mean': 49.191150575351244, 'pressure_roll_mean': 1009.6792963623681, 'vibration_roll_mean': 1.335228578687515, 'temp_humidity_interaction': 827.1994817098657, 'pressure_vibration_interaction': 236.7848194615117, 'pressure_roll_std': 5.609289861390707, 'vibration_roll_std': 0.8444649576413388}",IsolationForest
